condition,seed,contaminated,task,treesim,process_status,api_error,elapsed_sec,rag_calls,mem_calls,total_tool_calls,openrouter_cost_usd
A3_plug_hook,s2,,kgdExperimentValidation,0.2942,success,False,547.7,23,0,40,0.45153023999999997
A3_plug_hook,s2,,pknViscosityDominated,0.9371,success,False,275.4,9,0,18,0.13385298
A3_plug_hook,s3,,AdvancedExampleCasedContactThermoElasticWellbore,0.1274,success,False,387.0,21,0,37,0.30124302000000003
A3_plug_hook,s3,,AdvancedExampleDeviatedElasticWellbore,0.0,success,False,630.6,13,0,37,0.39960132
A3_plug_hook,s3,,AdvancedExampleDruckerPrager,0.5347,success,False,163.9,8,0,15,0.05486568
A3_plug_hook,s3,,AdvancedExampleExtendedDruckerPrager,0.3511,success,False,268.9,13,0,21,0.11669423999999999
A3_plug_hook,s3,,AdvancedExampleModifiedCamClay,0.3274,success,False,294.7,12,0,22,0.11047092
A3_plug_hook,s3,,AdvancedExampleViscoDruckerPrager,0.3948,success,False,179.7,8,0,16,0.0495348
A3_plug_hook,s3,,ExampleDPWellbore,0.1438,success,False,599.2,17,0,33,0.24697188
A3_plug_hook,s3,,ExampleEDPWellbore,0.2982,success,False,380.5,19,0,30,0.18154865999999997
A3_plug_hook,s3,,ExampleIsothermalLeakyWell,0.2777,success,False,370.9,12,0,21,0.19562207999999998
A3_plug_hook,s3,,ExampleMandel,0.3909,success,False,142.0,29,0,34,0.11749074000000001
A3_plug_hook,s3,,ExampleThermalLeakyWell,0.2925,success,False,206.8,9,0,11,0.03615264
A3_plug_hook,s3,,ExampleThermoporoelasticConsolidation,0.1854,success,False,621.2,21,0,36,0.39063354
A3_plug_hook,s3,,TutorialPoroelasticity,0.3191,success,False,570.0,18,0,87,0.5163851399999999
A3_plug_hook,s3,,TutorialSneddon,0.1444,success,False,417.9,21,0,39,0.32869289999999995
A3_plug_hook,s3,,buckleyLeverettProblem,0.3755,success,False,735.4,35,0,47,0.5127826799999999
A3_plug_hook,s3,,kgdExperimentValidation,0.1851,success,False,327.2,18,0,32,0.13939296
A3_plug_hook,s3,,pknViscosityDominated,0.193,success,False,460.2,20,0,29,0.18058806
A4_plug_mem_nohook,s1,,AdvancedExampleCasedContactThermoElasticWellbore,0.9825,success,False,337.4,6,0,16,0.12458256
A4_plug_mem_nohook,s1,,AdvancedExampleDeviatedElasticWellbore,0.9746,success,False,286.4,9,0,19,0.14167079999999999
A4_plug_mem_nohook,s1,,AdvancedExampleDruckerPrager,0.1875,success,False,541.5,11,0,35,0.35257224
A4_plug_mem_nohook,s1,,AdvancedExampleExtendedDruckerPrager,0.9514,success,False,408.5,9,0,22,0.11115486
A4_plug_mem_nohook,s1,,AdvancedExampleModifiedCamClay,0.966,success,False,331.9,8,0,18,0.08433
A4_plug_mem_nohook,s1,,AdvancedExampleViscoDruckerPrager,0.8719,success,False,237.8,9,0,16,0.12307776
